line_number,response_time
1,2319
2,2174
3,1749
4,1704
5,1713
6,1806
7,2122
8,2121
9,1948
10,1374
11,1904
12,1652
13,2215
14,1889
15,2083
16,3939
17,1605
18,1703
19,1813
20,2138
21,2112
22,1817
23,1642
24,1619
25,5278
26,1834
27,1917
28,2031
29,1887
30,2502
31,1389
32,1943
33,1909
34,2346
35,2252
36,1810
37,1833
38,1865
39,2072
40,1811
41,2139
42,1886
43,1934
44,5193
45,1631
46,2001
47,2257
48,1812
49,2129
50,2117
51,2115
52,1572
53,2080
54,2137
55,1904
56,2022
57,1876
58,1891
59,1777
60,1564
61,1985
62,2355
63,2197
64,2648
65,2025
66,1969
67,2173
68,2128
69,2125
70,2123
71,2079
72,1867
73,2105
74,1611
75,1722
76,1907
77,2347
78,2155
79,2088
80,1822
81,1751
82,2191
83,1561
84,1846
85,2062
86,1837
87,2083
88,2137
89,1986
90,1923
91,1960
92,1972
93,2378
94,2240
95,1671
96,1803
97,2189
98,1597
99,1836
100,2188
